source,target,realValue,layerID,layerColor,layerUnit
Exterior Heat,HPs,8751.39,Exterior Heat,#8FBC8F,TWh
NG,HPs,6382.03,NG,#FFD700,TWh
Electricity,Elec,3137.40,Electricity,#00BFFF,TWh
Solar,Elec,5368.64,Solar,#FFFF00,TWh
Elec,Export,3137.40,Electricity,#00BFFF,TWh
Elec,Elec demand,2650.00,Electricity,#00BFFF,TWh
Elec,HPs,2718.64,Electricity,#00BFFF,TWh
HPs,Heat,17852.06,Heat LT,#FA8072,TWh
Heat,Dec. Sto,1769.92,Heat LT,#FA8072,TWh
Dec. Sto,Heat LT Dec,1699.01,Heat LT,#FA8072,TWh
Dec. Sto,Losses,70.91,Heat,#708090,TWh
Heat,Heat LT Dec,16082.13,Heat,#FA8072,TWh
