TECHNOLOGIES 	  c_inv	 c_maint	 lifetime	  f_min	 f	 f_max	 fmin_perc	 f_perc	 fmax_perc	 c_p	 tau	 gwp_constr 
 UNITS	[MCHCapitalf/kW]	 [MCHCapitalf/kW]	 [y]	 [kW or kWh]	 [kW or kWh]	 [kW or kWh]	 [0-1]	 [0-1]	 [0-1]	 [0-1]	 [-]	 [kgCO2-eq./kW or kWh] 
DHN_GEO	0.000000	0.000000	30.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.850000	0.041639	0.000000	
DEC_HP_ELEC_A2A	0.000000	0.000000	12.000000	2.000000	0.000000	30.000000	0.000000	0.000000	0.600000	1.000000	0.091680	0.000000	
DEC_HP_ELEC_A2W	0.000000	0.000000	18.000000	8.000000	0.000000	30.000000	0.000000	0.000000	1.000000	1.000000	0.063806	0.000000	
DEC_HP_ELEC_A2W_small	0.000000	0.000000	18.000000	3.000000	0.000000	30.000000	0.000000	0.000000	1.000000	1.000000	0.063806	0.000000	
DEC_HP_ELEC_G2W	0.000000	0.000000	20.000000	10.000000	0.000000	32.000000	0.000000	0.000000	1.000000	1.000000	0.058246	0.000000	
DEC_HP_ELEC_G2W_small	0.000000	0.000000	20.000000	6.000000	0.000000	30.000000	0.000000	0.000000	1.000000	1.000000	0.058246	0.000000	
DEC_HP_ELEC_G2W_big	0.000000	0.000000	20.000000	18.000000	0.000000	50.000000	0.000000	0.000000	1.000000	1.000000	0.058246	0.000000	
DEC_THHP_GAS_ABS_A2W	0.000000	0.000000	20.000000	18.000000	0.000000	60.000000	0.000000	0.000000	1.000000	1.000000	0.058246	0.000000	
DEC_THHP_GAS_ABS_G2W	0.000000	0.000000	20.000000	18.000000	0.000000	60.000000	0.000000	0.000000	1.000000	1.000000	0.058246	0.000000	
DEC_THHP_GAS_ADS_G2W	0.000000	0.000000	20.000000	10.000000	0.000000	0.000000	0.000000	0.000000	1.000000	1.000000	0.058246	0.000000	
DEC_COGEN_GAS	0.000000	0.000000	20.000000	5.000000	0.000000	0.000000	0.000000	0.000000	1.000000	1.000000	0.058246	0.000000	
DEC_COGEN_OIL	0.000000	0.000000	20.000000	5.000000	0.000000	0.000000	0.000000	0.000000	1.000000	1.000000	0.058246	0.000000	
DEC_ADVCOGEN_GAS	0.000000	0.000000	20.000000	1.190000	0.000000	0.000000	0.000000	0.000000	1.000000	1.000000	0.058246	0.000000	
DEC_ADVCOGEN_H2	0.000000	0.000000	20.000000	0.700000	0.000000	0.000000	0.000000	0.000000	1.000000	1.000000	0.058246	0.000000	
DEC_BOILER_GAS	0.000000	0.000000	20.000000	11.000000	0.000000	30.000000	0.000000	0.000000	1.000000	1.000000	0.058246	0.000000	
DEC_BOILER_WOOD	0.000000	0.000000	20.000000	10.000000	0.000000	0.000000	0.000000	0.000000	1.000000	1.000000	0.058246	0.000000	
DEC_BOILER_OIL	0.000000	0.000000	20.000000	15.000000	0.000000	0.000000	0.000000	0.000000	1.000000	1.000000	0.058246	0.000000	
DEC_STOVE_WOOD	0.000000	0.000000	20.000000	3.000000	0.000000	0.000000	0.000000	0.000000	0.200000	1.000000	0.058246	0.000000	
DEC_SOLAR	0.000000	0.000000	25.000000	0.700000	0.000000	10000.000000	0.000000	0.000000	1.000000	1.000000	0.048263	0.000000	
DEC_DIRECT_ELEC	0.000000	0.000000	30.000000	3.000000	0.000000	30.000000	0.000000	0.000000	1.000000	1.000000	0.041639	0.000000	
TRAMWAY_TROLLEY	0.000000	0.000000	1.000000	0.100000	0.000000	16.700000	0.000000	0.000000	0.300000	1.000000	1.015000	0.000000	
BUS_COACH_DIESEL	0.000000	0.000000	1.000000	0.100000	0.000000	16.700000	0.000000	0.000000	0.300000	1.000000	1.015000	0.000000	
BUS_COACH_HYDIESEL	0.000000	0.000000	1.000000	0.100000	0.000000	16.700000	0.000000	0.000000	0.300000	1.000000	1.015000	0.000000	
BUS_COACH_CNG_STOICH	0.000000	0.000000	1.000000	0.100000	0.000000	16.700000	0.000000	0.000000	0.300000	1.000000	1.015000	0.000000	
BUS_COACH_CapitalfC_HYBRIDH2	0.000000	0.000000	1.000000	0.100000	0.000000	16.700000	0.000000	0.000000	0.200000	1.000000	1.015000	0.000000	
TRAIN_PUB	0.000000	0.000000	1.000000	0.100000	0.000000	16.700000	0.000000	0.000000	0.800000	1.000000	1.015000	0.000000	
CAR_GASOLINE	0.000000	0.000000	1.000000	0.100000	0.000000	16.700000	0.200000	0.000000	1.000000	1.000000	1.015000	0.000000	
CAR_DIESEL	0.000000	0.000000	1.000000	0.100000	0.000000	16.700000	0.200000	0.000000	1.000000	1.000000	1.015000	0.000000	
CAR_NG	0.000000	0.000000	1.000000	0.100000	0.000000	16.700000	0.000000	0.000000	0.500000	1.000000	1.015000	0.000000	
CAR_HEV	0.000000	0.000000	1.000000	0.100000	0.000000	16.700000	0.000000	0.000000	0.300000	1.000000	1.015000	0.000000	
CAR_PHEV	0.000000	0.000000	1.000000	0.100000	0.000000	16.700000	0.000000	0.000000	0.300000	1.000000	1.015000	0.000000	
CAR_BEV	0.000000	0.000000	1.000000	0.100000	0.000000	16.700000	0.000000	0.000000	0.300000	1.000000	1.015000	0.000000	
CAR_CapitalfUEL_CELL	0.000000	0.000000	1.000000	0.100000	0.000000	16.700000	0.000000	0.000000	0.200000	1.000000	1.015000	0.000000	
TRAIN_CapitalfREIGHT	0.000000	0.000000	1.000000	0.920000	0.000000	3.200000	0.000000	0.000000	1.000000	1.000000	1.015000	0.000000	
TRUCK	0.000000	0.000000	1.000000	0.920000	0.000000	3.200000	0.000000	0.000000	1.000000	1.000000	1.015000	0.000000	
LNG_STO	0.000000	0.000000	25.000000	0.100000	0.000000	100000.000000	0.000000	-1.000000	1.000000	1.000000	0.048263	0.000000	%f\t
PHES	0.000000	0.000000	50.000000	0.100000	0.000000	0.000000	0.000000	-1.000000	1.000000	1.000000	0.028572	0.000000	%f\t
BATT_LI	0.000000	0.000000	20.000000	2.200000	0.000000	100000.000000	0.000000	-1.000000	1.000000	1.000000	0.058246	0.000000	%f\t
BATT_REDOX	0.000000	0.000000	20.000000	2.200000	0.000000	100000.000000	0.000000	-1.000000	1.000000	1.000000	0.058246	0.000000	%f\t
BEV_BATT	0.000000	0.000000	1.000000	0.100000	0.000000	0.000000	0.000000	-1.000000	1.000000	1.000000	1.015000	0.000000	%f\t
PHEV_BATT	0.000000	0.000000	1.000000	0.100000	0.000000	0.000000	0.000000	-1.000000	1.000000	1.000000	1.015000	0.000000	%f\t
TS_DEC_HP_ELEC_A2W_small	0.000000	0.000000	30.000000	0.100000	0.000000	100000.000000	0.000000	-1.000000	1.000000	1.000000	0.041639	0.000000	%f\t
TS_DEC_HP_ELEC_A2W	0.000000	0.000000	30.000000	0.100000	0.000000	100000.000000	0.000000	-1.000000	1.000000	1.000000	0.041639	0.000000	%f\t
TS_DEC_HP_ELEC_G2W_small	0.000000	0.000000	30.000000	0.100000	0.000000	100000.000000	0.000000	-1.000000	1.000000	1.000000	0.041639	0.000000	%f\t
TS_DEC_HP_ELEC_G2W	0.000000	0.000000	30.000000	0.100000	0.000000	100000.000000	0.000000	-1.000000	1.000000	1.000000	0.041639	0.000000	%f\t
TS_DEC_HP_ELEC_G2W_big	-0.000000	-0.000000	30.000000	0.100000	-0.000000	100000.000000	0.000000	-1.000000	1.000000	1.000000	0.041639	0.000000	%f\t
TS_DEC_DIRECT_ELEC	0.000000	0.000000	30.000000	0.100000	0.000000	100000.000000	0.000000	-1.000000	1.000000	1.000000	0.041639	0.000000	%f\t
TS_DEC_THHP_GAS_ABS_A2W	0.000000	0.000000	30.000000	0.100000	0.000000	100000.000000	0.000000	-1.000000	1.000000	1.000000	0.041639	0.000000	%f\t
TS_DEC_THHP_GAS_ABS_G2W	0.000000	0.000000	30.000000	0.100000	0.000000	100000.000000	0.000000	-1.000000	1.000000	1.000000	0.041639	0.000000	%f\t
TS_DEC_THHP_GAS_ADS_G2W	0.000000	0.000000	30.000000	0.100000	0.000000	100000.000000	0.000000	-1.000000	1.000000	1.000000	0.041639	0.000000	%f\t
TS_DEC_COGEN_GAS	0.000000	0.000000	30.000000	0.100000	0.000000	100000.000000	0.000000	-1.000000	1.000000	1.000000	0.041639	0.000000	%f\t
TS_DEC_ADVCOGEN_GAS	-0.000000	-0.000000	30.000000	0.100000	-0.000000	100000.000000	0.000000	-1.000000	1.000000	1.000000	0.041639	0.000000	%f\t
TS_DEC_COGEN_OIL	0.000000	0.000000	30.000000	0.100000	0.000000	100000.000000	0.000000	-1.000000	1.000000	1.000000	0.041639	0.000000	%f\t
TS_DEC_ADVCOGEN_H2	0.000000	0.000000	30.000000	0.100000	0.000000	100000.000000	0.000000	-1.000000	1.000000	1.000000	0.041639	0.000000	%f\t
TS_DEC_BOILER_GAS	0.000000	0.000000	30.000000	0.100000	0.000000	100000.000000	0.000000	-1.000000	1.000000	1.000000	0.041639	0.000000	%f\t
TS_DEC_BOILER_WOOD	0.000000	0.000000	30.000000	0.100000	0.000000	100000.000000	0.000000	-1.000000	1.000000	1.000000	0.041639	0.000000	%f\t
TS_DEC_BOILER_OIL	-0.000000	-0.000000	30.000000	0.100000	-0.000000	100000.000000	0.000000	-1.000000	1.000000	1.000000	0.041639	0.000000	%f\t
TS_DHN_DAILY_S	0.000000	0.000000	40.000000	100.000000	0.000000	100000000.000000	0.000000	-1.000000	1.000000	1.000000	0.033427	0.000000	%f\t
TS_DHN_DAILY_M	0.000000	0.000000	40.000000	40000.000000	0.000000	0.000000	0.000000	-1.000000	1.000000	1.000000	0.033427	0.000000	%f\t
TS_DHN_SEASONAL_S	0.000000	0.000000	20.000000	40000.000000	0.000000	100000000.000000	0.000000	-1.000000	1.000000	1.000000	0.058246	0.000000	%f\t
TS_DHN_SEASONAL_M	1910855.282441	5732.565847	20.000000	1000000.000000	1910855.282441	100000000.000000	0.000000	-1.000000	1.000000	1.000000	0.058246	0.000000	%f\t
TS_DHN_SEASONAL_L	0.000000	0.000000	20.000000	8000000.000000	0.000000	0.000000	0.000000	-1.000000	1.000000	1.000000	0.058246	0.000000	%f\t
SEASONAL_NG	0.000000	0.000000	30.000000	0.000000	0.000000	0.000000	0.000000	-1.000000	1.000000	1.000000	0.041639	0.000000	%f\t
SEASONAL_H2	0.000000	0.000000	25.000000	0.000000	0.000000	0.000000	0.000000	-1.000000	1.000000	1.000000	0.048263	0.000000	%f\t
LINK_DEC2DHN	0.000000	0.000000	1.000000	0.100000	0.000000	0.000000	0.000000	-1.000000	1.000000	1.000000	1.015000	0.000000	%f\t
LINK_DHN2DEC	0.000000	0.000000	1.000000	0.100000	0.000000	0.000000	0.000000	-1.000000	1.000000	1.000000	1.015000	0.000000	%f\t
ECapitalfCapitalfICIENCY	0.000000	0.000000	1.000000	0.100000	0.000000	20.000000	0.000000	-1.000000	1.000000	1.000000	1.015000	0.000000	%f\t
DHN_SINGLE	9525610.714286	0.000000	40.000000	0.100000	15240.977143	100000.000000	0.000000	-1.000000	1.000000	1.000000	0.033427	0.000000	%f\t
DHN_SERVICE	9600000.000000	0.000000	40.000000	0.100000	3000.000000	100000.000000	0.000000	-1.000000	1.000000	1.000000	0.033427	0.000000	%f\t
